           ANÁLISE DE FREQUÊNCIA DE PALAVRAS           
Arquivo analisado: dom-casmurro.txt
Estrutura utilizada: Open Hash
Total de palavras únicas: 9601
Tempo total de execução: 77 ms
Numero de comparações: 237244
Número de colisões: 81110
═══════════════════════════════════════════════════════
Palavra: visinho, Frequência: 11
Palavra: phrase, Frequência: 11
Palavra: olhou, Frequência: 11
Palavra: f, Frequência: 11
Palavra: mostrar, Frequência: 11
Palavra: dito, Frequência: 11
Palavra: nomes, Frequência: 11
Palavra: cabo, Frequência: 11
Palavra: houvesse, Frequência: 11
Palavra: doente, Frequência: 11
Palavra: voltar, Frequência: 11
Palavra: feio, Frequência: 11
Palavra: acudiu, Frequência: 11
Palavra: contou, Frequência: 11
Palavra: parei, Frequência: 10
Palavra: levar, Frequência: 10
Palavra: unico, Frequência: 10
Palavra: tornei, Frequência: 10
Palavra: tornou, Frequência: 10
Palavra: access, Frequência: 10
Palavra: natureza, Frequência: 10
Palavra: breve, Frequência: 10
Palavra: ecclesiastica, Frequência: 10
Palavra: febre, Frequência: 10
Palavra: momento, Frequência: 10
Palavra: assumpto, Frequência: 10
Palavra: ficámos, Frequência: 10
Palavra: imagina, Frequência: 10
Palavra: estão, Frequência: 10
Palavra: sensações, Frequência: 10
Palavra: 4, Frequência: 10
Palavra: commum, Frequência: 10
Palavra: visinhança, Frequência: 10
Palavra: costumes, Frequência: 10
Palavra: tenha, Frequência: 10
Palavra: meia, Frequência: 10
Palavra: 3, Frequência: 10
Palavra: figura, Frequência: 10
Palavra: dê, Frequência: 10
Palavra: laws, Frequência: 10
Palavra: arte, Frequência: 10
Palavra: deixe, Frequência: 10
Palavra: fizera, Frequência: 10
Palavra: intimidade, Frequência: 10
Palavra: triste, Frequência: 10
Palavra: calor, Frequência: 10
Palavra: sacristão, Frequência: 10
Palavra: vaidade, Frequência: 10
Palavra: mesa, Frequência: 10
Palavra: ouro, Frequência: 10
Palavra: vão, Frequência: 10
Palavra: officio, Frequência: 10
Palavra: signal, Frequência: 10
Palavra: creatura, Frequência: 10
